experiment,dependence,n,sigma,rep,khat,ub_cert,rem1_mean,rem1_p,pi1,rem2_mean,rem2_p,pi2
ordersweep_censoring,pair0.99,20000,0.5,5,2,0.00012080016316013943,0.6135185510361151,1.5543122344752192e-15,1.0,2.352388716510001e-05,0.2915519671736646,0.7
ordersweep_censoring,pair0.99,20000,0.5,6,2,7.762785983225147e-05,0.618988969518551,1.865174681370263e-14,1.0,-8.010259930035791e-06,0.5870215699225263,0.5
ordersweep_censoring,pair0.99,20000,0.5,7,2,0.0001579213023852049,0.6293775990782583,1.3877787807814457e-13,1.0,3.303400778208454e-05,0.288545174799572,0.7
ordersweep_censoring,pair0.99,20000,0.5,8,3,,0.6233825567768219,3.2873703759150885e-13,1.0,7.324717261303348e-05,0.02435759978300589,1.0
ordersweep_censoring,pair0.99,20000,0.5,9,2,0.00012243790551681413,0.6119326580794091,8.770761894538737e-15,1.0,-1.2061051628065033e-05,0.5765624907460478,0.3
ordersweep_censoring,pair0.99,20000,0.5,10,2,0.00012016836156562087,0.6156186913014359,4.3220982348657344e-13,1.0,3.921472316128494e-05,0.13319789741090293,0.8
ordersweep_censoring,pair0.99,20000,0.5,11,2,9.642161014494755e-05,0.651043238357733,3.6337599595981374e-13,1.0,6.815109482838367e-06,0.43070378331959636,0.6
ordersweep_censoring,pair0.99,20000,0.5,12,3,,0.6276187086657151,5.0959236830294685e-14,1.0,8.160254394878885e-05,0.03256142791423211,1.0
ordersweep_censoring,pair0.99,20000,0.5,13,2,4.7947847850229105e-05,0.6079017348776442,2.0305979120394113e-13,1.0,1.0603570444622789e-05,0.15934261279749773,0.8
ordersweep_censoring,pair0.99,20000,0.5,14,3,,0.6094586807778337,7.438494264988549e-15,1.0,6.99282202484941e-05,0.017391224911311065,1.0
ordersweep_censoring,pair0.99,20000,0.5,15,2,0.00010979495869660335,0.6159413411750193,1.6653345369377348e-15,1.0,3.072640252650416e-05,0.17752070534705022,0.8
ordersweep_censoring,pair0.99,20000,0.5,16,2,2.8286339276863375e-05,0.6227161968196817,6.0285110237146e-14,1.0,-4.7384394393990006e-05,0.9285974917173188,0.1
ordersweep_censoring,pair0.99,20000,0.5,17,3,,0.6047507134644196,7.105427357601002e-15,1.0,0.00010751552410239728,0.018719563862038546,1.0
ordersweep_censoring,pair0.99,20000,0.5,18,2,0.00019272005571199444,0.6118340142286691,8.393286066166183e-14,1.0,3.1910632126386226e-05,0.3411236843789367,0.7
