experiment,sigma,rep,data_hash,khat,rem2_mean,rem2_p,ub_cert,true_gap
coverage_indep,1.0,31,5e66b080508d701cecbd2fde944ed2b3e8a7ae5e5992f95b229441a84ec95961,3,0.005158486242163407,1.326044856220232e-05,,0.005509599829065043
coverage_indep,1.0,32,c32501f4fed86dfca08736031f3d4c9841bfa9d5defb93086365d215869aaae1,3,0.00516158198263863,1.9666173752486138e-05,,0.005509599829065043
coverage_indep,1.0,33,e537c57281808640005aefc9d32227114bbc95e39ddead9703834db916822c52,3,0.005826291873925771,7.349107898457774e-05,,0.005509599829065043
coverage_indep,1.0,34,3480bb696da9d0dfd0be3bd8bb9fd59d1fa782130433f0f3013afb9257857251,3,0.005162166310469618,1.2198142052000094e-08,,0.005509599829065043
coverage_indep,1.0,35,ccea45a90c1e0506757c7d90f73056b4a242cb7a1b632d518b555276950c5993,3,0.00680219557798889,3.7544111208820397e-06,,0.005509599829065043
coverage_indep,1.0,36,acd67ef67bd038c8bc4e42adf6635df075cd0f93d153a5a08c4e8d0be43b14c3,3,0.004992030161530869,9.842909348689588e-07,,0.005509599829065043
coverage_indep,1.0,37,37a5ebd874c37993e991705e1800f1765dff158ca62590fa197dc474babe1545,3,0.005547551105413185,1.289104365875815e-05,,0.005509599829065043
coverage_indep,1.0,38,5acf4e80bf4717fd7f9ea6f7d628727184fd1e92f2fe8895b353c6b5c04e3013,3,0.004488021051308011,0.00010255639957723606,,0.005509599829065043
coverage_indep,1.0,39,22eeafbf7d145900873fd7dbc635004c562305e61b83be622d86de6dc9a7a84c,3,0.004731654044517997,1.2069211829945914e-07,,0.005509599829065043
coverage_indep,1.0,40,94e55dfcd20bdc44d5083f360adba33aa54a76e5ff04ad1f7d6a581d952ef842,3,0.006994659522866975,9.542669537898618e-07,,0.005509599829065043
coverage_indep,1.0,41,4379442869d86fa98f6c8500363604c0027af55271feaeb453ab5572c44323a5,3,0.0056140188437112885,1.1009499719438764e-05,,0.005509599829065043
coverage_indep,1.0,42,4411abba544a614917e58a5405304982e536c29f224e1a23a129f2009a3cfdc2,3,0.005212493389687189,3.724278403449688e-07,,0.005509599829065043
coverage_indep,1.0,43,5d8260e3165d38b6374fb3432523468736ae9cbaa11037d118092368a7467549,3,0.004932205342141327,2.1899994613328033e-05,,0.005509599829065043
coverage_indep,1.0,44,b7533e07f5082306f7eb0623991a32192a1249b978d57f86805601d0537f7ca7,3,0.006794773572355672,1.6728989860714805e-05,,0.005509599829065043
coverage_indep,1.0,45,539d86cf7cd10f3659e2b314c20fe6ffe544de036fee11e7151824da052c2c8e,3,0.006705498587574787,3.140697184889074e-05,,0.005509599829065043
coverage_indep,1.0,46,45e3b4be82f4dc8afdb18ac09154f10d0f736b32638c0829ba2db8b31b8d1834,3,0.0054055596269395375,9.056209057112241e-07,,0.005509599829065043
coverage_indep,1.0,47,e181a14ac92aa1a5a6922f8de49e1f0d52d46c0ae6306d89a72b7f2ef7d5d6c5,3,0.005495695264125522,6.037149736992653e-05,,0.005509599829065043
coverage_indep,1.0,48,e060b9ad1579b597b805915f2dbaf29af19576df839add50f954403674a3c3ec,3,0.005310170529667724,3.3494580243820238e-06,,0.005509599829065043
coverage_indep,1.0,49,6dbdb342e25b072a50ef53c32527b47ac5d2a844286b61b221b4f770cb3af5f5,3,0.0054294912526578806,0.00011554325352580719,,0.005509599829065043
coverage_indep,2.0,0,4bda62c4753733d550b125e8c044dfabfd8a4312158c4af17ac1d8b36f64c123,3,0.0040552557787135735,0.008410420872624003,,0.0030128023234464434
coverage_indep,2.0,1,651e50611e10eeb3ca8affef77016a3573b8b474ba468646a9f73d9d53d4fdc3,3,0.00273227922964987,0.010939877408467025,,0.0030128023234464434
coverage_indep,2.0,2,ff75194cbd62726b3da5c700b5ddc2d5acb7875b50ab347378359dc36fdc8016,3,0.0025876052609826393,0.013795255847661614,,0.0030128023234464434
coverage_indep,2.0,3,7987cb3fe5bdd45e2a0d57ba2d11c2800991ed9bb2abb12a9fca0824401dfe3c,3,0.003337701962938577,0.004974903035167788,,0.0030128023234464434
coverage_indep,2.0,4,9a765156f41b54d4f85a7032c840755f8a9be696385a021eb3607d26ff1d31de,3,0.0032213876231123153,0.0011427229500551306,,0.0030128023234464434
coverage_indep,2.0,5,d57f0ca97253656fe45c0f8d97e5f5f8eaeb68a5b0c3e9b49dd0b43e1ab2e725,3,0.0024763587735789462,0.0022738654253466883,,0.0030128023234464434
coverage_indep,2.0,6,150925937c25611fb923d6c06afa3e96be026df6a9ce5ff22a7ca4bb5e5db5ae,3,0.0014891818993830186,0.03754806821707901,,0.0030128023234464434
coverage_indep,2.0,7,1313b796ad6876ad6215441270a584a6ea5b239355ffe0cc3a3e3fcc72c1db41,3,0.0027834293425837097,0.006245532598775361,,0.0030128023234464434
coverage_indep,2.0,8,3f5946cf0563b0924778e242f5c1639dd75df790be1855531e7d53904d9e4130,3,0.003033123360050005,9.880107352122636e-05,,0.0030128023234464434
coverage_indep,2.0,9,bcd9da25dd9acff4e20bb187cf99b9264d2d47e11d2be34e5ec8f9a1ff0c46f6,3,0.0017825130711561332,0.006459107752623927,,0.0030128023234464434
coverage_indep,2.0,10,c72be8e7305778fb52b1e0ea7bed4b049d0034d45ed804b090c7bc224253a577,3,0.003791346556835018,0.008900052676615866,,0.0030128023234464434
coverage_indep,2.0,11,6843e3457539d06a69c93a9225fdea6709d241cbd89c4f7a91746c572d3358e7,3,0.004084626563361182,0.0006600609747651198,,0.0030128023234464434
coverage_indep,2.0,12,69af380dcf310c7f6517d5a1ae8f8f9715cd8d8b6ac6e694fe9f040ce06aad6d,3,0.002901177661777987,1.7166772822374554e-05,,0.0030128023234464434
coverage_indep,2.0,13,183ce88ca45ccba60a4785dc7262ffab4f3a3890b6f0ef8494a4656d9a97d118,3,0.002832430186233248,0.0011770436039295618,,0.0030128023234464434
coverage_indep,2.0,14,84227c197c2a0a5e7c6b91b0747ca2155068a3c2c98469e83b2e7dd15422f431,3,0.0021572206033579787,0.003020280201862069,,0.0030128023234464434
coverage_indep,2.0,15,507b96b97e8f9b0e167b204aef2ce4167beb52e0d98b65d345c5e5d072d241cb,3,0.0024721960986964333,0.02028548356121218,,0.0030128023234464434
coverage_indep,2.0,16,aa33d16e5558e728d02190660a1f52dac187ce014b1b1c655b4a65e9c9d049eb,3,0.0019196018841698415,0.0005045082902872533,,0.0030128023234464434
coverage_indep,2.0,17,3d5b6580c5bb5758fb36e5cd5e7ff5fa59f63b4eb97f30e7cb69595c7925fac8,3,0.0031395602262873413,0.0037428767600280466,,0.0030128023234464434
coverage_indep,2.0,18,ffaadc74cc3fb3d1bf4d2dbd7cee2f504979c88798cb106385436a7aa0225f9c,3,0.0043410938890655285,0.00332555888910413,,0.0030128023234464434
coverage_indep,2.0,19,ffc3cc3a2a4d50fc7aefc6fa6d52ec465c78b6bb1bbffd375189f86307261167,3,0.0024659682472808254,0.005388452972207913,,0.0030128023234464434
coverage_indep,2.0,20,df86f32f6f9aba45b5306ea44c18cb0e8f8c4a832c3a0a400bf784d84815b94e,3,0.0038151631299997214,0.0007694389767488596,,0.0030128023234464434
coverage_indep,2.0,21,54787c4eb6187781c5019f8675ca3dc7093c17ab56fa481f4843ad8722a5c37c,3,0.0023006284332561357,0.0024064069975356928,,0.0030128023234464434
coverage_indep,2.0,22,f7dda704310f5b387a4723913e3092fad35256e5a55b5b8ab3f761d12c883699,3,0.002420906956957525,0.00026207854924986673,,0.0030128023234464434
coverage_indep,2.0,23,ea9a7ef4eafb3c989e4067c1eda0c5f22f15d6671fe1ea5874ba93d8157fb4c7,3,0.0037631538432363553,0.0013787078209381853,,0.0030128023234464434
coverage_indep,2.0,24,7ae0ede2b1e2bc4c0ca17125ba4514346bda1907dca57322ebc760aaa55bcc0b,3,0.002600604673289064,0.0016481184656542691,,0.0030128023234464434
coverage_indep,2.0,25,8c223bc82374e26c42a139d4c30ce5ee56db9ff28f3cd47fe3e4ea5ecefba5fd,3,0.002103190940195554,0.030800765068476288,,0.0030128023234464434
coverage_indep,2.0,26,91b6e04c0f57f409f3a5c769fc9a73e8c940e8990c5b594cade15bb88688af50,3,0.003719699793351616,0.0006569423205555758,,0.0030128023234464434
coverage_indep,2.0,27,0835e876a2e41f26a367efa91b5ac6621222d469fa9f86893b5dd72cace78add,3,0.0022636048977208944,0.006781491891434954,,0.0030128023234464434
coverage_indep,2.0,28,1bbe6859da77f342d38b6597273a743b25db2c2b972f0a392b5e67ca62139295,3,0.00366256218038189,0.0054057969489577085,,0.0030128023234464434
coverage_indep,2.0,29,1aac8973cd6da0ed62d1d071583c0e26d8cd61e79a224ce03b12a3be2c6fdbcb,3,0.003025972051971015,0.008001344397086108,,0.0030128023234464434
coverage_indep,2.0,30,f21c48542f648986e03a69696f4b808d1ddf873def1d7f2c665dcd1c477b0eb6,3,0.0020179053508612155,0.006005724931056111,,0.0030128023234464434
