experiment,dgp,dependence,sigma,rep,true_order,khat_bspline,khat_poly,rem1_p_bspline,rem2_p_bspline
bspline_basis,o1,pair0.9,0.5,2,1,1,1,0.7813361991309475,0.775850719258783
bspline_basis,o1,pair0.9,0.5,3,1,1,1,0.9614477462135436,0.9578665543090451
bspline_basis,o1,pair0.9,0.5,4,1,1,1,0.9946144046242561,0.9896867213114646
bspline_basis,o1,pair0.9,0.5,5,1,1,1,0.998132796397727,0.9983852844431023
bspline_basis,o1,pair0.9,0.5,6,1,1,1,0.7947466601130553,0.7883928672041098
bspline_basis,o1,pair0.9,0.5,7,1,1,1,0.9099164217831589,0.8949285777879854
bspline_basis,o1,pair0.9,0.5,8,1,1,1,0.7756262910716736,0.7696304966550684
bspline_basis,o1,pair0.9,0.5,9,1,1,1,0.9381658492796817,0.9017517539604635
bspline_basis,o1,pair0.9,0.5,10,1,1,1,0.9551547448225293,0.9486775539048715
bspline_basis,o1,pair0.9,0.5,11,1,1,1,0.9929557033880113,0.9531126745250071
bspline_basis,o1,pair0.9,0.5,12,1,1,1,0.9921581158836413,0.9902988421902702
bspline_basis,o1,pair0.9,0.5,13,1,1,1,0.9443193605446714,0.9311132530746854
bspline_basis,o1,pair0.9,0.5,14,1,1,1,0.828459884343205,0.8026942644186219
bspline_basis,o1,pair0.9,0.5,15,1,1,1,0.8517301490086571,0.8315719496426394
bspline_basis,o1,pair0.9,0.5,16,1,1,1,0.9713275102427478,0.9607520229579442
bspline_basis,o1,pair0.9,0.5,17,1,1,1,0.7104568956599426,0.7067936094333307
bspline_basis,o1,pair0.9,0.5,18,1,1,1,0.998710452534496,0.983313819220977
bspline_basis,o1,pair0.9,0.5,19,1,1,1,0.9378533895848339,0.8978708611940591
bspline_basis,o2,indep,0.0,0,2,2,2,4.9960036108132044e-15,0.8046528298835975
bspline_basis,o2,indep,0.0,1,2,2,2,9.64783808399261e-14,0.9664471817612413
bspline_basis,o2,indep,0.0,2,2,2,2,1.318944953254686e-13,0.8657062317548196
bspline_basis,o2,indep,0.0,3,2,2,2,1.1213252548714081e-14,0.8779833635206579
bspline_basis,o2,indep,0.0,4,2,2,2,1.5543122344752192e-15,0.8231322891119306
bspline_basis,o2,indep,0.0,5,2,2,2,1.7430501486614958e-14,0.9150634336456004
bspline_basis,o2,indep,0.0,6,2,2,2,4.440892098500626e-16,0.9867938435211959
bspline_basis,o2,indep,0.0,7,2,2,2,6.661338147750939e-15,0.97673902161345
bspline_basis,o2,indep,0.0,8,2,2,2,7.638334409421077e-14,0.8255416132926955
bspline_basis,o2,indep,0.0,9,2,2,2,1.1102230246251565e-16,0.9634297452968344
bspline_basis,o2,indep,0.0,10,2,2,2,0.0,0.994814711417433
bspline_basis,o2,indep,0.0,11,2,2,2,6.072919944699606e-14,0.9658445695390778
bspline_basis,o2,indep,0.0,12,2,2,2,1.4432899320127035e-15,0.9879230541438354
bspline_basis,o2,indep,0.0,13,2,2,2,1.5210055437364645e-14,0.9005777985536843
bspline_basis,o2,indep,0.0,14,2,2,2,5.551115123125783e-16,0.7432899935601714
bspline_basis,o2,indep,0.0,15,2,2,2,8.881784197001252e-15,0.8437334389353834
bspline_basis,o2,indep,0.0,16,2,2,2,2.2315482794965646e-14,0.7103543178890253
bspline_basis,o2,indep,0.0,17,2,2,2,2.6958990595460364e-11,0.7534550192570513
