experiment,dgp,dependence,sigma,rep,true_order,khat,rem1_p,rem2_p,rem3_p,ub_cert
ksweep_k4,o1,indep,0.5,5,1,1,0.979586874749492,0.9728705814281695,0.7440675680652457,0.00032749601381696643
ksweep_k4,o1,indep,0.5,6,1,1,0.92703667255899,0.7216873239011483,0.30297534598474873,0.0004973841100082287
ksweep_k4,o1,indep,0.5,7,1,1,0.9886265478306575,0.9802758015205124,0.7027585404483077,0.0002311485235008214
ksweep_k4,o1,indep,0.5,8,1,1,0.9747363361434094,0.8611794159581584,0.8973689949244612,0.00033586386627482015
ksweep_k4,o1,indep,0.5,9,1,1,0.9778635265406734,0.9320502275975423,0.8761723688253424,0.00030511552220018355
ksweep_k4,o1,indep,0.5,10,1,1,0.9996270865347289,0.9936825189659613,0.8264813618251614,2.222043219209487e-05
ksweep_k4,o1,indep,0.5,11,1,1,0.9278940196632479,0.8907604602640273,0.8411818023767202,0.0004939308939323483
ksweep_k4,o1,indep,0.5,12,1,1,0.999942740644063,0.997453425235785,0.8875955655175024,5.7467888456117226e-05
ksweep_k4,o1,indep,0.5,13,1,1,0.9627335375155602,0.33231003996870756,0.45617275563896975,0.0004307651735086188
ksweep_k4,o1,indep,0.5,14,1,1,0.9959397747372003,0.9157750070857082,0.1525639033978491,0.00021891438088026685
ksweep_k4,o1,indep,0.5,15,1,1,0.8731354757241933,0.8509886404195829,0.47239989090768386,0.0005869125890894244
ksweep_k4,o1,indep,0.5,16,1,1,0.9554454254481534,0.44461632860473865,0.8571491698062939,0.00045584975702089067
ksweep_k4,o1,indep,0.5,17,1,1,0.9622261267700453,0.9192224374820741,0.636216651134841,0.00042218456860038995
ksweep_k4,o1,indep,0.5,18,1,1,0.9992403670488482,0.9832459107660092,0.26484695610245146,7.962505792061904e-05
ksweep_k4,o1,indep,0.5,19,1,1,0.9907583646662045,0.9818743630923932,0.6913849538338563,0.00021757899819849127
ksweep_k4,o1,pair0.5,0.0,0,1,1,0.9033075964083653,0.6786149729817237,0.7916430405650687,5.115910045039396e-05
ksweep_k4,o1,pair0.5,0.0,1,1,1,0.8156272350859931,0.13267818060387804,0.8745361953735975,0.00020016440967610957
ksweep_k4,o1,pair0.5,0.0,2,1,1,0.7969183785988216,0.5298102282633927,0.7915587452077659,0.0001778107930550127
ksweep_k4,o1,pair0.5,0.0,3,1,1,0.9721287794659994,0.4256792131969368,0.8487806351048222,-7.845737099581767e-06
ksweep_k4,o1,pair0.5,0.0,4,1,1,0.8604450455026422,0.47284688076317194,0.055077545760123026,0.00010856490480054299
ksweep_k4,o1,pair0.5,0.0,5,1,1,0.7475287241422316,0.6682200240615764,0.5176819818129387,0.0001117256162152226
ksweep_k4,o1,pair0.5,0.0,6,1,1,0.9839492746438262,0.8767750173801468,0.6221579858428924,-4.361934844481917e-05
ksweep_k4,o1,pair0.5,0.0,7,1,1,0.9430177203714885,0.9412986330369898,0.7202556607819732,2.1077873509040967e-05
ksweep_k4,o1,pair0.5,0.0,8,1,1,0.9407284925836559,0.6962538979070773,0.49987231054980985,2.2828628802751966e-05
ksweep_k4,o1,pair0.5,0.0,9,1,1,0.8366408167815228,0.7565684390656939,0.6144581939247734,3.952243301494822e-05
ksweep_k4,o1,pair0.5,0.0,10,1,1,0.8546420461960527,0.7756317191887321,0.573838435031514,0.00010719310115862588
ksweep_k4,o1,pair0.5,0.0,11,1,1,0.8471064140180222,0.8293255746641907,0.5786706922051054,0.00011667754503851799
ksweep_k4,o1,pair0.5,0.0,12,1,1,0.8993444667775828,0.9396973733607944,0.8808000501801819,8.946156767636578e-05
ksweep_k4,o1,pair0.5,0.0,13,1,1,0.731681356278507,0.4305370640007202,0.8347791923656213,0.0002705153382326786
ksweep_k4,o1,pair0.5,0.0,14,1,1,0.6166504741020636,0.979303797005353,0.7108006613722189,0.00020731817112464983
ksweep_k4,o1,pair0.5,0.0,15,1,1,0.9922614506239733,0.9446395790092152,0.7999525031130705,-0.00011143356706139212
ksweep_k4,o1,pair0.5,0.0,16,1,1,0.6372911711237467,0.6225156511567151,0.8268871810083345,9.037198662509882e-05
ksweep_k4,o1,pair0.5,0.0,17,1,1,0.6636225000261207,0.5572694855815314,0.6794055737692268,0.0001292197538420357
ksweep_k4,o1,pair0.5,0.0,18,1,1,0.9231568977864093,0.6304018830735283,0.8711397729608991,3.8786135181071216e-05
ksweep_k4,o1,pair0.5,0.0,19,1,1,0.9245604704853553,0.8506959643207258,0.5163386062015609,3.549286658234284e-05
ksweep_k4,o1,pair0.5,0.5,0,1,1,0.9970246625822198,0.9757807912471163,0.42323001881008815,0.00018787242327316495
ksweep_k4,o1,pair0.5,0.5,1,1,1,0.9957115646791761,0.9250455299832133,0.8040973369938182,0.00030928949856693006
ksweep_k4,o1,pair0.5,0.5,2,1,1,0.975551571205138,0.9568542145742529,0.84436747887524,0.0005238699131540736
ksweep_k4,o1,pair0.5,0.5,3,1,1,0.999413511734945,0.95354358960146,0.47589550453807505,9.752102617070963e-05
ksweep_k4,o1,pair0.5,0.5,4,1,1,0.8929271102636069,0.523340498662148,0.7344017577950767,0.0008061012046837932
ksweep_k4,o1,pair0.5,0.5,5,1,1,0.9816813951472542,0.9755330430072636,0.9131855354068439,0.00040065106366856827
ksweep_k4,o1,pair0.5,0.5,6,1,1,0.9941350891893328,0.9538256063854615,0.2112038101789644,0.00032869865371985986
ksweep_k4,o1,pair0.5,0.5,7,1,1,0.9553325867549214,0.9739158307555319,0.851921610478285,0.0005925379365947709
ksweep_k4,o1,pair0.5,0.5,8,1,1,0.9976173392354892,0.9885335502067502,0.8608691881978318,0.00024831067900527444
ksweep_k4,o1,pair0.5,0.5,9,1,1,0.9998769516155953,0.796960782572019,0.5771224715986693,0.0001687410110435758
ksweep_k4,o1,pair0.5,0.5,10,1,1,0.9540047355181365,0.6883512921809105,0.3200275429561006,0.0005984524234355085
ksweep_k4,o1,pair0.5,0.5,11,1,1,0.9973780101062175,0.978995372935784,0.8543132063195964,0.00024009407981198183
ksweep_k4,o1,pair0.5,0.5,12,1,1,0.9687696066509736,0.7820579790828743,0.2129139983857945,0.000534921016325739
ksweep_k4,o1,pair0.5,0.5,13,1,1,0.942163040999695,0.8288067515412475,0.8774873590312411,0.0006376462920644599
ksweep_k4,o1,pair0.5,0.5,14,1,1,0.9985088742371006,0.992426385159543,0.8389426325553533,0.00013378170793215308
ksweep_k4,o1,pair0.5,0.5,15,1,1,0.9971313508713529,0.8059600456471683,0.8590032510463238,0.000159867949222521
ksweep_k4,o1,pair0.5,0.5,16,1,1,0.9985047815740814,0.9021184803445172,0.5206907053093246,0.00016100525026053965
ksweep_k4,o1,pair0.5,0.5,17,1,1,0.9796426732207113,0.9856724235532632,0.5589724450823274,0.0004512686035908109
ksweep_k4,o1,pair0.5,0.5,18,1,1,0.9962363490176903,0.9887662218334695,0.43919679611451123,0.00020502765910368297
ksweep_k4,o1,pair0.5,0.5,19,1,1,0.9956364887537575,0.8997623761247597,0.7333550076127635,0.00036664923569722533
ksweep_k4,o2,indep,0.0,0,2,2,7.882583474838611e-15,0.12274842014040965,0.9280346939946283,5.603322772812731e-05
ksweep_k4,o2,indep,0.0,1,2,2,5.0737192225369654e-14,0.8346348095607516,0.8175518206506276,2.2808000675376976e-05
ksweep_k4,o2,indep,0.0,2,2,2,3.097522238704187e-14,0.8014722465664316,0.21309278216393657,1.336346856995148e-05
ksweep_k4,o2,indep,0.0,3,2,2,0.0,0.9252919992279549,0.8308978233026522,1.0383352330634413e-05
ksweep_k4,o2,indep,0.0,4,2,2,1.3322676295501878e-15,0.7218012034827247,0.5603225640869214,2.6301014428924548e-05
ksweep_k4,o2,indep,0.0,5,2,2,1.0946799022804043e-13,0.99574146327039,0.9427189282274983,-2.450104238640866e-06
ksweep_k4,o2,indep,0.0,6,2,2,6.705747068735946e-14,0.9770647436639458,0.5199067337224027,-9.438488792900869e-06
ksweep_k4,o2,indep,0.0,7,2,2,1.0658141036401503e-14,0.9544729843083205,0.5994404320963316,3.076763138119257e-06
ksweep_k4,o2,indep,0.0,8,2,2,9.037215420448774e-14,0.9672442759873261,0.4615111687329059,-6.684908895698888e-07
ksweep_k4,o2,indep,0.0,9,2,2,1.4432899320127035e-15,0.8440098483519796,0.2472459652291239,1.0458483692732006e-05
ksweep_k4,o2,indep,0.0,10,2,2,5.551115123125783e-16,0.658354945896275,0.8263885840321008,1.6265769377699565e-05
ksweep_k4,o2,indep,0.0,11,2,2,1.176836406102666e-14,0.875186513022836,0.781068291908607,1.7038146358438154e-05
ksweep_k4,o2,indep,0.0,12,2,2,1.099120794378905e-14,0.5446860979773985,0.8345260122579887,3.033283738214207e-05
ksweep_k4,o2,indep,0.0,13,2,2,1.8340884366807586e-13,0.7462003813717581,0.8067241630949816,3.150305217335075e-05
ksweep_k4,o2,indep,0.0,14,2,2,2.4091839634365897e-14,0.9484553043683667,0.7271188824086248,4.558931690781852e-06
ksweep_k4,o2,indep,0.0,15,2,2,3.3306690738754696e-16,0.8231195042479919,0.676939216766887,3.730872840423783e-05
ksweep_k4,o2,indep,0.0,16,2,2,4.218847493575595e-15,0.9581984699271998,0.8162725508987078,2.057189625612577e-06
ksweep_k4,o2,indep,0.0,17,2,2,3.5083047578154947e-14,0.8342038638904732,0.8329501813468578,1.1794959861544918e-05
ksweep_k4,o2,indep,0.0,18,2,2,9.536815781530095e-14,0.9427385896780117,0.7920844922578454,5.150384406050037e-06
ksweep_k4,o2,indep,0.0,19,2,2,4.658495811327157e-13,0.7217821235465859,0.34601305365101775,1.4873755190760844e-05
