experiment,dgp,dependence,rep,true_order,khat,rem1_p,rem2_p,rem2_mean,ub_cert
extensions_d5,o1_5,indep,0,1,1,0.9937401846571832,0.9936656174107001,-0.0005397543430922358,0.00020944857957451522
extensions_d5,o1_5,indep,1,1,1,0.9992417071051146,0.9799532477687234,-0.000355009260202388,0.00024399973704199954
extensions_d5,o1_5,indep,2,1,1,0.9998703711214936,0.9981106394081688,-0.00046319322703380905,-8.277254518413747e-05
extensions_d5,o1_5,indep,3,1,1,0.9969809010948006,0.9754696478452245,-0.0005345905246340044,0.00011114982009051812
extensions_d5,o1_5,indep,4,1,1,0.9997292080595799,0.9923320280382846,-0.00030092214491087563,0.00014936827527135734
extensions_d5,o1_5,indep,5,1,1,0.9989633352135995,0.9991193989217539,-0.0004332983967062387,0.00015032406823729306
extensions_d5,o1_5,indep,6,1,1,0.9945124523874598,0.9850272887663736,-0.000280942924712424,0.0003380432987509967
extensions_d5,o1_5,indep,7,1,1,0.9931195311855809,0.9675130193955728,-0.0002195795363956976,0.0004303209470511791
extensions_d5,o1_5,indep,8,1,1,0.9991198570794647,0.9991810377326859,-0.0005017260895602393,0.0002817659502884554
extensions_d5,o1_5,indep,9,1,1,0.9992300301118916,0.9975573786183201,-0.00038709922392958783,9.170518449406735e-05
extensions_d5,o1_5,pair0.5,0,1,1,0.9981003923183278,0.9932472077095127,-0.0003738586299803726,0.00035062393263070486
extensions_d5,o1_5,pair0.5,1,1,1,0.9843436833142205,0.95326162940936,-0.00035288074377225475,0.0006955813465472005
extensions_d5,o1_5,pair0.5,2,1,1,0.9987513699997796,0.9980607656587867,-0.0004757454037633835,0.00018970649174951588
extensions_d5,o1_5,pair0.5,3,1,1,0.9926043851874048,0.9996213234096979,-0.000556917727372952,0.0005621170578239816
extensions_d5,o1_5,pair0.5,4,1,1,0.996575387519219,0.9861890569655835,-0.0005623712546707349,0.00032694733909528415
extensions_d5,o1_5,pair0.5,5,1,1,0.992076370369584,0.9631674009928957,-0.0004621970715953827,0.0005615933296158274
extensions_d5,o1_5,pair0.5,6,1,1,0.9999148301041068,0.9984441783839276,-0.0006272680093259986,-1.2040270239664684e-05
extensions_d5,o1_5,pair0.5,7,1,1,0.9989872903569108,0.9563543740825958,-0.00038726568009659343,0.00032702792442314505
extensions_d5,o1_5,pair0.5,8,1,1,0.998657352881489,0.9615185885144674,-0.00037508254727843806,0.00023897086692820275
extensions_d5,o1_5,pair0.5,9,1,1,0.9994715002806199,0.9854011126730273,-0.00040362600159331573,0.00031567300302424257
extensions_d5,o1_5,pair0.9,0,1,1,0.9992963389896661,0.9710396203013149,-0.0005756653054802552,-3.3912654627097846e-05
extensions_d5,o1_5,pair0.9,1,1,1,0.9964683134323091,0.9926998685094502,-0.0006637214765282784,0.0004942685548022754
extensions_d5,o1_5,pair0.9,2,1,1,0.9999304631097122,0.9994028341029251,-0.0008264295341456118,-8.822335429644799e-05
extensions_d5,o1_5,pair0.9,3,1,1,0.9902088192219898,0.9727388938157816,-0.00041050862060862945,0.0007802012080278907
extensions_d5,o1_5,pair0.9,4,1,1,0.9891617311320879,0.9912128838339169,-0.0005644306123935405,0.0008118596168256693
extensions_d5,o1_5,pair0.9,5,1,1,0.9967996983737045,0.9983494374973266,-0.0006265979222686458,0.0003415619025215099
extensions_d5,o1_5,pair0.9,6,1,1,0.9998367131993251,0.9983001899048145,-0.0007592337275084127,-4.6954692561276866e-05
extensions_d5,o1_5,pair0.9,7,1,1,0.9992332634079982,0.948973691424547,-0.0007022898503150854,3.40039171088549e-05
extensions_d5,o1_5,pair0.9,8,1,1,0.999748701890591,0.996810556194486,-0.000572365406213593,0.0002888608545511814
extensions_d5,o1_5,pair0.9,9,1,1,0.9940634930554838,0.9805337610300208,-0.0006127335498926856,0.0005937921987320506
extensions_d5,o2_5,indep,0,2,2,1.511013536514838e-13,0.9998631495385357,-0.00038657972333016043,-2.5775210073713866e-07
extensions_d5,o2_5,indep,1,2,2,1.1357581541915351e-13,0.9928608322751726,-0.0003316966067636984,0.00013560875558000292
extensions_d5,o2_5,indep,2,2,2,1.4261480885124911e-11,0.9884377621971082,-0.0002760103224718202,0.00016805631849810474
extensions_d5,o2_5,indep,3,2,2,7.456257833382551e-13,0.9327517713987922,-0.00018802660198523612,0.00028056108608598375
extensions_d5,o2_5,indep,4,2,2,7.549516567451064e-15,0.9977984167646017,-0.0005529835964088736,-1.8408115070693294e-05
extensions_d5,o2_5,indep,5,2,2,9.14823772291129e-14,0.8586129967092593,-0.00020051917286881827,0.0003862002931881467
extensions_d5,o2_5,indep,6,2,2,1.9459989175629744e-12,0.9989423138729141,-0.00041267202691085413,2.909936979757528e-05
extensions_d5,o2_5,indep,7,2,2,2.4424906541753444e-14,0.9982943431682589,-0.0003182651986366802,9.244755382850793e-05
extensions_d5,o2_5,indep,8,2,2,2.4250601526887294e-12,0.9926318499830629,-0.0003555670728813132,0.00011988601875462582
extensions_d5,o2_5,indep,9,2,2,2.6845192735436285e-13,0.9739112522308163,-0.00024241662271845543,0.00023163528476962233
extensions_d5,o2_5,pair0.5,0,2,2,1.7108536809473662e-13,0.9985832769837601,-0.00037441353926661594,5.568834597037949e-05
extensions_d5,o2_5,pair0.5,1,2,2,1.5942802633617248e-13,0.998105640463971,-0.00034361375412006456,8.456156954977627e-05
extensions_d5,o2_5,pair0.5,2,2,2,2.9976021664879227e-15,0.9785997742973798,-0.00025141451375794156,0.00020458520613502078
extensions_d5,o2_5,pair0.5,3,2,2,2.750255578831684e-11,0.985251450561312,-0.0003371149216682467,0.00016629496897759452
extensions_d5,o2_5,pair0.5,4,2,2,1.0861311849907906e-12,0.9484189464829101,-0.000375321561769737,0.0002650360150283834
extensions_d5,o2_5,pair0.5,5,2,2,1.6220358389773537e-13,0.9959180174531709,-0.0003786910691252809,8.988170830158453e-05
