experiment,outcome,triple,n,countries,data_hash,khat,ub_cert,rem1_mean,rem1_p,pi1,rem2_mean,rem2_p,pi2
vdem_ordersweep_app,upturn,navco,7944,140,6037029901b51c73af155f1494aa9f20b52ec830bd8d2632b0d7cf187db9b11a,1,0.015527868760863341,-0.013493890551800957,0.8223759925721121,0.4,-0.0019941542961982917,0.834527105789372,0.2
vdem_ordersweep_app,upturn,party,8346,139,7579a346aa7eaef1eaf23e3aaed0970cdd839b0dc72ecc4f20c0a648cfc99e1f,1,0.01303357578005021,-0.0006943888419844834,0.5479641262519881,0.5,-0.001909955879469516,0.7044565770541523,0.6
vdem_ordersweep_app,upturn,antimv,9047,140,a1fedc17eafc75f9e8dc776535217fbee9c017917400db9d52bba770e2abc308,1,0.01095706467310207,-0.0004597648162282586,0.5395449526486024,0.4,-0.0013707085883788994,0.7942490429777618,0.3
vdem_ordersweep_app,downturn,navco,7944,140,7d65a345f32015f47bbe500e097c4f3b8662f4a16d2331c46d16ce0bce9c84fb,1,0.004256692118062925,-0.0032781477891450916,0.9218357006595431,0.0,-0.0004909982497959487,0.7654886442087562,0.2
vdem_ordersweep_app,downturn,party,8346,139,ab0adab9691ea8e7240a016f6c708ae9d8ff124421ec770b34b050aa85431153,1,0.030048457846956245,-0.02091564726291234,0.7802125734979484,0.2,-0.0071851146975777215,0.6918155709511342,0.5
vdem_ordersweep_app,downturn,antimv,9047,140,b7a6ad8c7d40cdcf58d11a81594ada0604464cf60b18c11401779e2380ce250d,1,-0.004611398064792176,-0.017772970914197217,0.9953147152445535,0.0,-0.0037616876016341337,0.8837568848236682,0.2
