experiment,sigma,rep,data_seed,data_hash,khat_ordersweep,khat_cv1se,rem1_p,rem2_p,rem2_mean,ub_cert,cv_mse_gap23,cv_1se_margin,cv_1se_cutoff
discriminator_power,1.0,0,1472992424,d40f97111cb282dcef17cf0a60deaa656b0b1843781865492eed2e31b3ac0ac6,3,3,3.107514245925813e-13,1.390838026305019e-06,0.005218078679740623,,0.019088360725667664,0.012709790800465305,1.0053490358983719
discriminator_power,1.0,1,1472993401,dfb0217442eac6e8ef3dd0fa906d93ae27e8310ec87b9dae4172b2fb4dea0b44,3,3,6.956435427696306e-12,0.000573907636310822,0.004824532556089977,,0.017811102686397073,0.006454053732804916,1.0047894636490806
discriminator_power,1.0,2,1472994378,f4bad09efe38c214da9cd8258707f45a7e410dbf0fcc7923d4f4701ada6aca71,3,3,8.240297333372837e-12,0.0003920938408744634,0.0048098888869657404,,0.01673348064129576,0.007694223399118632,1.0115585202514523
discriminator_power,1.0,3,1472995355,fc1ffea2ff4be67d798892b0dad03d5763df296fc27ac62124f55f7fefb5efe7,3,3,3.4582336994049e-12,4.695987505987098e-05,0.005457481806094677,,0.021588345177964707,0.01178989732297719,1.008163003974064
discriminator_power,1.0,4,1472996332,754a9afbc1437b86000356351465a9c89f349787a0a2012924f5614746ab15a0,3,3,1.5784373808003238e-11,1.949525567512822e-05,0.005129791558415886,,0.018717608997713908,0.01155793768483411,1.018500391791875
discriminator_power,1.0,5,1472997309,02806e9a29ba6f2301a05781f75e944b769baf11e0b10b1a767a04f15a5aba10,3,3,2.2071233729548112e-12,1.1127259664789335e-05,0.006388750796486775,,0.021940083407257838,0.009245979302225045,1.0179230800329897
discriminator_power,1.0,6,1472998286,4b682434de1ee52b5799cbbf7f007b3a077f40e766bcd98c535eed7437709a2c,3,3,2.466915560717098e-13,1.2334137626468511e-05,0.006172899883873939,,0.022786525383625245,0.007458773486511692,1.0154370459388746
discriminator_power,1.0,7,1472999263,2d53515c25a9a93e2124690ca9f17c69e80029324ab8191bbb70f5eb03af6040,3,3,4.023842370415309e-10,6.766342831754368e-05,0.0046499556034023,,0.01713070994715926,0.016393050350464723,1.0142003321457198
discriminator_power,1.0,8,1473000240,fc0811c5152e06fa239a9b2771d7c89fb5a862206b10f7f12add2460bdc1db1a,3,3,5.906386491005833e-14,1.2414891382261928e-05,0.005147674685288784,,0.018387936058635423,0.010096664175137752,1.024277438349786
discriminator_power,1.0,9,1473001217,37cd3239687a37bd7e4d1e4f3b90056d0a0f9af08bae649d9b3f4c80b231965b,3,3,2.999988035767842e-10,9.316912068846328e-06,0.005872016608878339,,0.021355391850934602,0.012439220705314646,1.0171244007625722
discriminator_power,1.0,10,1473002194,9478697481463380c48016041109b4ed28ea4498b4141781891af355c386706b,3,3,7.956979519718743e-11,0.00036427148625217676,0.0038815334786379218,,0.016871516162934586,0.01517030167647792,1.0014427069705882
discriminator_power,1.0,11,1473003171,b8d1c4251cb3f913ee95296c12f1ae589da883cc2109a4b17d64dc7e91da1a86,3,3,7.285894110253821e-11,5.127833208273813e-06,0.0046334164893737095,,0.018286357122111907,0.009946203280412576,1.013582684726032
discriminator_power,1.0,12,1473004148,6c5adea4828006863e891a62f011130a7c6b9a49190dc9e87077d5e95119c3fd,3,3,4.053446467366939e-11,3.1797874943340076e-05,0.005388595073004543,,0.01949837872713278,0.01946172598494507,1.02335132701946
discriminator_power,1.0,13,1473005125,2020f0b39e943620833320d91d47a423fd9eb2db10a5acc023638bd934bc17b4,3,3,4.411360166045597e-12,9.724168415603529e-06,0.006288370693631351,,0.022333524236429758,0.008702761884870234,1.0111805781855343
discriminator_power,1.0,14,1473006102,aa40fbe36c75a63ad1a0d3fc1f3678f2cfe9c665b9d3378a415c765ac0243bad,3,3,1.0401679517713092e-12,1.4970528345870093e-06,0.00587912592933385,,0.018719644069673858,0.01233126472607897,1.009094489086309
discriminator_power,1.0,15,1473007079,4b63008d7502e9e6f7e10c63106ce4a2624220742b3d2c653d00293634dec97a,3,3,1.6459056340067946e-12,4.034336198444066e-08,0.005182101541040163,,0.019333722899533168,0.005630304711041284,1.0100675260509138
discriminator_power,1.0,16,1473008056,e4f6dddbd68452c6e7360a793a0816334294f6bcd2dba184f666acd9ecf834a6,3,3,3.2144287231972157e-12,0.0011993094255112746,0.004282523161552998,,0.015947353557656863,0.007456257106819669,1.0162082512336934
discriminator_power,1.0,17,1473009033,0d7d1a90da92d61e1437d81bcd4cf0327c8bb791c6fdaf68cf7d041891601cec,3,3,5.5104143470430245e-11,0.0005117440831867714,0.006093097906104894,,0.023639824761474082,0.010630861045183026,1.0016955734753077
discriminator_power,1.0,18,1473010010,f50ce293cef2feed97ae12d37d20a04ff72f3c20dbc92ec78e919b62689ec1ec,3,3,3.0008218132593356e-12,4.9393534010122586e-05,0.00619036203840635,,0.02060886451831956,0.014140133022663214,1.0175346142966648
discriminator_power,1.0,19,1473010987,a61db9e4382cc07aa244d8b2c744c524721554bea639e765d0fb8f9b2c1f8d23,3,3,2.8140823005173843e-12,3.5676880455026705e-05,0.005023554259370977,,0.01864671388671424,0.009041056548114825,0.9992201492076622
discriminator_power,1.5,0,629061360,6ce47925d47b1287ed1d0d33f3c7c2c9a568caa28bd0d142c381b56b9b619d30,3,3,3.2360133461750706e-09,0.00020962227679055534,0.003832299286882801,,0.016426035668116956,0.013608553669774828,2.2764306748520466
discriminator_power,1.5,1,629062337,0e3c4dd0661e532d60fa0e70097a249d22d02268579e19730d0a40aa319b01da,3,3,2.295069689850493e-10,0.00036112931244391966,0.0033228153826269534,,0.019187309860298818,0.01801263430155198,2.2722707623083704
discriminator_power,1.5,2,629063314,20bbcb0370cca384978bc5222537f94b1c328ba4c30f7bd9f242d360ff93e87e,3,3,1.3103962359650723e-11,8.456622039088035e-05,0.004105295318812008,,0.02036013426812744,0.012120271579490478,2.248582183136817
discriminator_power,1.5,3,629064291,8445f414cd1636f2ef76b465907c88cde58ba62de7d442f77e4a043c34e4022e,3,3,8.349188007628072e-11,0.00014145978480273325,0.003501252059253013,,0.017902149280622393,0.016620316056941885,2.293472521154939
discriminator_power,1.5,4,629065268,7234fbd76cb8d987cde52d5de169fd6b9e676991d8b0d0992e9659e179dc45c9,3,3,2.96800650723128e-09,2.955233615042907e-06,0.003948998567112849,,0.019925800169035668,0.012005381209408684,2.274683072773048
discriminator_power,1.5,5,629066245,bb77b87c5807de1f8cb08ab016dfef966ee068149462e128820aea7564f0e019,3,3,2.5827562311064867e-11,0.0004981877945400282,0.004179023396468829,,0.018437382562680238,0.014619372495426752,2.2593345166821273
discriminator_power,1.5,6,629067222,b32fe09db6b5211e24fb88e1cf0e3b16c6c2ab554ae3306a33ba1c7f6281b01a,3,3,1.5131618180674877e-10,0.00032348198857834465,0.0024582434245108307,,0.01384124064369141,0.01212095987653985,2.2684266432910345
discriminator_power,1.5,7,629068199,09b4aa375241fb88788ce78b649f162de4ea0ec60664665eb9b340394abb082a,3,2,7.372503951774689e-08,4.359461014502575e-05,0.003746945253076406,,0.020851913476538808,0.030329828876616796,2.280976925025498
discriminator_power,1.5,8,629069176,a396b0aa9dbbee167216e11ef5ddcde3e06dbfdccc58d5ada10b65fd45bddf41,3,2,3.902617673468001e-09,3.0566398000808626e-05,0.004152113456561723,,0.02210297010484208,0.0261610892456231,2.282922232610317
discriminator_power,1.5,9,629070153,d1335b72817d8941ff94a16fc8ca010d9c3d37ffae30e9852a6346c5b0b4df68,3,3,1.8456314254677864e-10,0.0024155185436200988,0.0040318923692197915,,0.021494225731732097,0.01920240223284419,2.273017943204022
discriminator_power,1.5,10,629071130,035de01c2132f84f13d149da9efe70fd41e63e240756d4ff97962722a9d5ee7c,3,2,1.8751666885918894e-13,0.00016239447854626832,0.003605581109270439,,0.01753337689331902,0.02712769828363756,2.29870982218215
discriminator_power,1.5,11,629072107,d37fd07a4ff681d19e39aecea0f6dbe697eb4555e3ab30a4660cab9feac81a37,3,2,2.4085178296218146e-12,0.000233441208818852,0.004587273390989954,,0.020391478793083007,0.026609625179534923,2.2769124337262245
discriminator_power,1.5,12,629073084,86054a841f843555ac3f6cef690d6d364f1022ecb559b8943edf0faa96efab3a,3,3,1.2879697308676441e-12,0.00019302265930853935,0.0038295702684815304,,0.019362086782256593,0.009845772408878935,2.293298858179348
discriminator_power,1.5,13,629074061,410e277b6391e54b3717e693d97ce9667d98fd9ded98b55981db16d1d9ad0e00,3,2,5.067790631585467e-11,0.00013885489177389854,0.0038480210858533592,,0.019502138526114265,0.02670662112362136,2.2628226423017934
discriminator_power,1.5,14,629075038,0e0cdeeb906c333d79694866997598fa9a704f21ffca089b7be71c50fa70cfc5,3,2,2.6499635819021705e-10,0.0004196246388685765,0.003710935622545053,,0.01740000550160614,0.019465647685296298,2.256947210314612
discriminator_power,1.5,15,629076015,dfc98e7281115ad344e05b8462c3b4ab0866c6e1f23c920fc4957d04088adfaf,3,2,2.3203661214665772e-14,0.00012181767806129784,0.0035810804555384103,,0.01982716492540515,0.02118909747741988,2.250739455576743
discriminator_power,1.5,16,629076992,2417abefdad74cecc33ef2e535fe8a78732ee26201ffa64355f8348754a9b0a0,3,2,6.820211062574799e-12,0.0005158459391594317,0.0035634116252408533,,0.019999428802538688,0.024696833105235516,2.2561164806281186
discriminator_power,1.5,17,629077969,237ad6ac39799e70bb8f0fe9840c46bc2a25ce6d1e9e66e15865598242a5084b,3,3,5.0865645029318785e-11,0.00016504930030136755,0.0033306241716323905,,0.015054650326385755,0.0110740029198254,2.3105269605577905
discriminator_power,1.5,18,629078946,71c2df5f170e34f4e613b09d1533eabe2b9c16fb8cc04214a26fe748f07f9ca8,3,2,1.000310945187266e-12,6.585398376279805e-06,0.003928576285308927,,0.019479207839399493,0.03443691481377843,2.2740353680250163
discriminator_power,1.5,19,629079923,68020133490ab1ee4ceef44d9c795cde467b9f78824ebe7566f9f19e9b37020d,3,2,4.883760063023601e-12,0.004602160000122479,0.0026627964077113875,,0.017022004842364602,0.01758044384145615,2.278839210637639
discriminator_power,2.0,0,3469034546,f4a447d643ee6ac8dd1930021f95cce0c8be9ee63a47072cb17ec88ee0b97e08,3,2,2.1758195245524803e-10,0.0003471561731924755,0.0031641945891023758,,0.017000173524261086,0.051558969869161156,4.13956167551037
discriminator_power,2.0,1,3469035523,c9b854709759fcbead6e154bdaa4f8f832d009c68fae6f84fa3b95d45a3b5638,3,2,5.853271201061716e-10,0.0012138320587538054,0.0033304878589308974,,0.020520089603451197,0.031773854700665585,4.111875168756919
discriminator_power,2.0,2,3469036500,ff5f8e787b6c19b90c5f702570eb7233229ce0e259edc8cabc06e973b92ca15a,3,2,5.520677248682659e-10,0.015212759411497023,0.001672917025314824,,0.012680876539941544,0.039743338606814414,4.062598351121944
